Treatment;Species ;ShH;FY;TAA
100% White;Radish;9,47;4,73;85,34
100% Red;Radish;8,67;4,79;83,84
100% Blue;Radish;9,77;4,72;92,95
50% Red 50% Blue;Radish;8,67;4,71;79,33
25% Blue 75% Red;Radish;9,17;4,7;90,12
75% Blue 25% Red;Radish;9,33;4,74;87,2
100% White;Radish;10,4;4,72;83,31
100% Red;Radish;9,67;4,75;83,22
100% Blue;Radish;9,33;4,72;92,51
50% Red 50% Blue;Radish;9;4,72;95,78
25% Blue 75% Red;Radish;9,1;4,75;90,92
75% Blue 25% Red;Radish;9,33;4,7;83,31
100% White;Radish;11,4;5,17;102,5
100% Red;Radish;13,23;5,27;86,58
100% Blue;Radish;13,3;4,91;110,99
50% Red 50% Blue;Radish;10,77;4,52;85,87
25% Blue 75% Red;Radish;11,83;5,26;80,57
75% Blue 25% Red;Radish;12,57;5,15;98,7
100% White;Radish;10,9;5,15;81,45
100% Red;Radish;12,67;5,24;78,8
100% Blue;Radish;13;4,93;87,11
50% Red 50% Blue;Radish;11,67;5,39;95,78
25% Blue 75% Red;Radish;11,67;4,96;72,96
75% Blue 25% Red;Radish;12,33;5,23;96,49
100% White;Broc;7,33;1,64;86,41
100% Red;Broc;8,43;1,64;76,15
100% Blue;Broc;7,23;1,64;91,71
50% Red 50% Blue;Broc;6,07;1,63;91,45
25% Blue 75% Red;Broc;6,57;1,63;80,13
75% Blue 25% Red;Broc;6,47;1,64;78,8
100% White;Broc;7,9;1,65;108,51
100% Red;Broc;7,37;1,64;89,06
100% Blue;Broc;8,1;1,64;108,42
50% Red 50% Blue;Broc;6,6;1,64;117,09
25% Blue 75% Red;Broc;6,63;1,64;85,61
75% Blue 25% Red;Broc;7,33;1,65;97,02
100% White;Broc;10,1;1,9;89,15
100% Red;Broc;9,23;1,84;85,34
100% Blue;Broc;11,17;1,79;103,47
50% Red 50% Blue;Broc;7,63;1,5;96,04
25% Blue 75% Red;Broc;8,77;1,7;81,63
75% Blue 25% Red;Broc;9,67;1,74;106,04
100% White;Broc;9,73;1,94;84,19
100% Red;Broc;9,07;1,81;83,93
100% Blue;Broc;9,67;1,6;105,24
50% Red 50% Blue;Broc;8,57;1,72;76,15
25% Blue 75% Red;Broc;8,23;1,67;77,83
75% Blue 25% Red;Broc;9,27;1,7;98,43
